time (time),v(d) (voltage),v(clk) (voltage),v(s) (voltage),v(r) (voltage),v(q) (voltage)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499175e-01
1.000000e-12,0.000000e+00,1.700000e-03,0.000000e+00,0.000000e+00,8.499422e-01
2.000000e-12,0.000000e+00,3.400000e-03,0.000000e+00,0.000000e+00,8.499639e-01
4.000000e-12,0.000000e+00,6.800000e-03,0.000000e+00,0.000000e+00,8.500040e-01
8.000000e-12,0.000000e+00,1.360000e-02,0.000000e+00,0.000000e+00,8.500747e-01
1.600000e-11,0.000000e+00,2.720000e-02,0.000000e+00,0.000000e+00,8.501461e-01
3.200000e-11,0.000000e+00,5.440000e-02,0.000000e+00,0.000000e+00,8.501519e-01
6.400000e-11,0.000000e+00,1.088000e-01,0.000000e+00,0.000000e+00,8.500153e-01
1.280000e-10,0.000000e+00,2.176000e-01,0.000000e+00,0.000000e+00,8.498670e-01
2.560000e-10,0.000000e+00,4.352000e-01,0.000000e+00,0.000000e+00,8.498336e-01
4.197650e-10,0.000000e+00,7.136004e-01,0.000000e+00,0.000000e+00,8.496784e-01
5.000000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.502566e-01
5.175433e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.501542e-01
5.526298e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500439e-01
6.228028e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499726e-01
7.631488e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.498917e-01
9.898768e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499160e-01
1.443333e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499147e-01
2.350244e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499187e-01
4.164068e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499159e-01
7.791715e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499192e-01
1.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499159e-01
1.055000e-08,0.000000e+00,7.650000e-01,0.000000e+00,0.000000e+00,8.498671e-01
1.065000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,8.498864e-01
1.085000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,8.500272e-01
1.100000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499490e-01
1.102580e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499555e-01
1.107739e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.498218e-01
1.118058e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.498132e-01
1.135350e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499845e-01
1.155741e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.498975e-01
1.185720e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499330e-01
1.245678e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499044e-01
1.365593e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499294e-01
