time (time),v(d) (voltage),v(clk) (voltage),v(s) (voltage),v(r) (voltage),v(q) (voltage)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.914327e-01
1.000000e-12,0.000000e+00,1.700000e-03,0.000000e+00,0.000000e+00,2.914384e-01
2.000000e-12,0.000000e+00,3.400000e-03,0.000000e+00,0.000000e+00,2.914412e-01
4.000000e-12,0.000000e+00,6.800000e-03,0.000000e+00,0.000000e+00,2.914395e-01
8.000000e-12,0.000000e+00,1.360000e-02,0.000000e+00,0.000000e+00,2.914265e-01
1.600000e-11,0.000000e+00,2.720000e-02,0.000000e+00,0.000000e+00,2.914274e-01
3.200000e-11,0.000000e+00,5.440000e-02,0.000000e+00,0.000000e+00,2.914255e-01
6.400000e-11,0.000000e+00,1.088000e-01,0.000000e+00,0.000000e+00,2.914642e-01
1.280000e-10,0.000000e+00,2.176000e-01,0.000000e+00,0.000000e+00,2.918244e-01
2.560000e-10,0.000000e+00,4.352000e-01,0.000000e+00,0.000000e+00,2.897985e-01
5.000000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,2.249610e-01
5.256000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,2.112042e-01
5.768000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.829384e-01
6.792000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.292512e-01
8.840000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,5.478831e-02
1.293600e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,3.069374e-03
2.112800e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,-6.602428e-04
3.751200e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,3.679168e-04
6.138587e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,-2.430060e-04
1.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,2.015656e-04
1.055000e-08,0.000000e+00,7.650000e-01,0.000000e+00,0.000000e+00,1.429785e-04
1.065000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,7.798094e-05
1.085000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,4.300665e-05
1.100000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.027968e-05
1.104000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.592835e-05
1.112000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.760006e-05
1.128000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.871502e-05
1.160000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.719152e-06
1.224000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.238446e-06
1.352000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.023446e-06
1.524047e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.182828e-06
1.868142e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.351420e-06
2.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.254532e-06
2.005000e-08,0.000000e+00,8.500000e-02,0.000000e+00,0.000000e+00,3.528329e-06
2.015000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,9.045031e-06
2.035000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,-1.935400e-05
2.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,-1.181061e-06
2.054000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,3.494644e-06
2.062000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.126212e-05
2.078000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,5.585070e-06
2.110000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,6.992868e-07
2.172223e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.388723e-06
2.296669e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.817564e-06
2.500000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,1.482176e-06
2.505000e-08,8.500000e-02,8.500000e-01,8.500000e-02,0.000000e+00,1.395183e-03
2.515000e-08,2.550000e-01,8.500000e-01,2.550000e-01,0.000000e+00,5.493760e-03
2.535000e-08,5.950000e-01,8.500000e-01,5.950000e-01,0.000000e+00,1.870517e-02
2.550000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.393786e-03
2.554000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,4.187612e-03
2.562000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,2.117196e-04
2.578000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,1.312101e-05
2.610000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,1.070344e-04
2.674000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,4.480805e-05
2.782171e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,9.806352e-05
2.887226e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,5.447999e-05
3.050000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,9.180990e-05
3.055000e-08,8.500000e-01,7.650000e-01,8.500000e-01,0.000000e+00,7.120137e-05
3.065000e-08,8.500000e-01,5.950000e-01,8.500000e-01,0.000000e+00,6.013577e-05
3.085000e-08,8.500000e-01,2.550000e-01,8.500000e-01,0.000000e+00,7.572422e-05
3.100000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.526107e-05
3.104000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,9.750630e-05
3.112000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,1.047199e-04
3.128000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.205444e-05
3.160000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,5.739659e-05
3.224000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,7.454910e-05
3.334824e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,7.889856e-05
3.459770e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,6.876016e-05
3.699618e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,7.954398e-05
3.950246e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,6.914503e-05
4.000000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,7.875817e-05
4.005000e-08,8.500000e-01,8.500000e-02,8.500000e-01,0.000000e+00,8.589984e-05
4.015000e-08,8.500000e-01,2.550000e-01,8.500000e-01,0.000000e+00,1.093298e-04
