time (time),v(d) (voltage),v(clk) (voltage),v(s) (voltage),v(r) (voltage),v(q) (voltage)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499794e-01
1.000000e-12,0.000000e+00,1.700000e-03,0.000000e+00,0.000000e+00,8.499605e-01
2.000000e-12,0.000000e+00,3.400000e-03,0.000000e+00,0.000000e+00,8.499644e-01
4.000000e-12,0.000000e+00,6.800000e-03,0.000000e+00,0.000000e+00,8.500062e-01
8.000000e-12,0.000000e+00,1.360000e-02,0.000000e+00,0.000000e+00,8.500126e-01
1.600000e-11,0.000000e+00,2.720000e-02,0.000000e+00,0.000000e+00,8.500245e-01
3.200000e-11,0.000000e+00,5.440000e-02,0.000000e+00,0.000000e+00,8.500366e-01
6.400000e-11,0.000000e+00,1.088000e-01,0.000000e+00,0.000000e+00,8.500480e-01
1.280000e-10,0.000000e+00,2.176000e-01,0.000000e+00,0.000000e+00,8.500403e-01
2.560000e-10,0.000000e+00,4.352000e-01,0.000000e+00,0.000000e+00,8.500166e-01
5.000000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499709e-01
5.256000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499724e-01
5.768000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499912e-01
6.792000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500363e-01
8.840000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500259e-01
1.293600e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499872e-01
1.962950e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499925e-01
3.301651e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499814e-01
5.979052e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499844e-01
1.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499784e-01
1.055000e-08,0.000000e+00,7.650000e-01,0.000000e+00,0.000000e+00,8.499803e-01
1.065000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,8.499859e-01
1.085000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,8.500151e-01
1.100000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.500249e-01
1.104000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.500305e-01
1.112000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.500151e-01
1.128000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499921e-01
1.160000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.500038e-01
1.224000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499885e-01
1.314277e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499868e-01
1.494832e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499826e-01
1.855941e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499816e-01
2.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499823e-01
2.005000e-08,0.000000e+00,8.500000e-02,0.000000e+00,0.000000e+00,8.500028e-01
2.015000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,8.500155e-01
2.035000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,8.499931e-01
2.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499638e-01
2.054000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499752e-01
2.062000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500099e-01
2.078000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500376e-01
2.110000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499965e-01
2.165842e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499901e-01
2.277527e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499857e-01
2.500000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499820e-01
2.505000e-08,8.500000e-02,8.500000e-01,8.500000e-02,0.000000e+00,8.539280e-01
2.515000e-08,2.550000e-01,8.500000e-01,2.550000e-01,0.000000e+00,8.598896e-01
2.535000e-08,5.950000e-01,8.500000e-01,5.950000e-01,0.000000e+00,8.613961e-01
2.550000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.542748e-01
2.554000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.524412e-01
2.562000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.503095e-01
2.578000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.498399e-01
2.610000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.500508e-01
2.666212e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499521e-01
2.778635e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.500216e-01
3.003483e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499631e-01
3.050000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.500066e-01
3.055000e-08,8.500000e-01,7.650000e-01,8.500000e-01,0.000000e+00,8.499928e-01
3.065000e-08,8.500000e-01,5.950000e-01,8.500000e-01,0.000000e+00,8.499760e-01
3.085000e-08,8.500000e-01,2.550000e-01,8.500000e-01,0.000000e+00,8.499989e-01
3.100000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.500189e-01
3.104000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.500236e-01
3.112000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499991e-01
3.128000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499647e-01
3.160000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499952e-01
3.224000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499912e-01
3.314278e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499896e-01
3.494835e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499919e-01
3.855947e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499895e-01
4.000000e-08,8.500000e-01,0.000000e+00,8.500000e-01,0.000000e+00,8.499920e-01
4.005000e-08,8.500000e-01,8.500000e-02,8.500000e-01,0.000000e+00,8.500112e-01
4.015000e-08,8.500000e-01,2.550000e-01,8.500000e-01,0.000000e+00,8.500134e-01
4.035000e-08,8.500000e-01,5.950000e-01,8.500000e-01,0.000000e+00,8.499722e-01
4.050000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499358e-01
4.054000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499479e-01
4.062000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499875e-01
4.078000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.500267e-01
4.110000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499838e-01
4.165842e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499889e-01
4.277527e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499934e-01
4.500897e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499879e-01
4.550000e-08,8.500000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499936e-01
4.555000e-08,7.650000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499315e-01
4.565000e-08,5.950000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499199e-01
4.585000e-08,2.550000e-01,8.500000e-01,8.500000e-01,0.000000e+00,8.499753e-01
4.600000e-08,3.663736e-15,8.500000e-01,8.500000e-01,0.000000e+00,8.499732e-01
4.604000e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499965e-01
4.612000e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.500413e-01
4.628000e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.500107e-01
4.660000e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499751e-01
4.709371e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499813e-01
4.783089e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499784e-01
4.883109e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499801e-01
5.012610e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499789e-01
5.050000e-08,0.000000e+00,8.500000e-01,8.500000e-01,0.000000e+00,8.499796e-01
5.055000e-08,0.000000e+00,7.650000e-01,8.500000e-01,0.000000e+00,8.499730e-01
5.065000e-08,0.000000e+00,5.950000e-01,8.500000e-01,0.000000e+00,8.499631e-01
5.085000e-08,0.000000e+00,2.550000e-01,8.500000e-01,0.000000e+00,8.499898e-01
5.100000e-08,0.000000e+00,1.221245e-14,8.500000e-01,0.000000e+00,8.500082e-01
5.104000e-08,0.000000e+00,0.000000e+00,8.500000e-01,0.000000e+00,8.500101e-01
5.112000e-08,0.000000e+00,0.000000e+00,8.500000e-01,0.000000e+00,8.499832e-01
5.128000e-08,0.000000e+00,0.000000e+00,8.500000e-01,0.000000e+00,8.499548e-01
5.160000e-08,0.000000e+00,0.000000e+00,8.500000e-01,0.000000e+00,8.499840e-01
