time (time),v(d) (voltage),v(clk) (voltage),v(s) (voltage),v(r) (voltage),v(q) (voltage)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499751e-01
1.000000e-12,0.000000e+00,1.700000e-03,0.000000e+00,0.000000e+00,8.499767e-01
2.000000e-12,0.000000e+00,3.400000e-03,0.000000e+00,0.000000e+00,8.499781e-01
4.000000e-12,0.000000e+00,6.800000e-03,0.000000e+00,0.000000e+00,8.499810e-01
8.000000e-12,0.000000e+00,1.360000e-02,0.000000e+00,0.000000e+00,8.499853e-01
1.600000e-11,0.000000e+00,2.720000e-02,0.000000e+00,0.000000e+00,8.499916e-01
3.200000e-11,0.000000e+00,5.440000e-02,0.000000e+00,0.000000e+00,8.499977e-01
6.400000e-11,0.000000e+00,1.088000e-01,0.000000e+00,0.000000e+00,8.499986e-01
1.280000e-10,0.000000e+00,2.176000e-01,0.000000e+00,0.000000e+00,8.499907e-01
2.560000e-10,0.000000e+00,4.352000e-01,0.000000e+00,0.000000e+00,8.499805e-01
5.000000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499633e-01
5.256000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499719e-01
5.768000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499926e-01
6.792000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.500002e-01
8.840000e-10,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499803e-01
1.293600e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499818e-01
2.112800e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499751e-01
3.751200e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499784e-01
7.028000e-09,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499736e-01
1.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499776e-01
1.055000e-08,0.000000e+00,7.650000e-01,0.000000e+00,0.000000e+00,8.499748e-01
1.065000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,8.499743e-01
1.085000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,8.499877e-01
1.100000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499931e-01
1.104000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499960e-01
1.112000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499820e-01
1.128000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499723e-01
1.160000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499868e-01
1.224000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499738e-01
1.312322e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499805e-01
1.488967e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499729e-01
1.842257e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499787e-01
2.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.499731e-01
2.005000e-08,0.000000e+00,8.500000e-02,0.000000e+00,0.000000e+00,8.499865e-01
2.015000e-08,0.000000e+00,2.550000e-01,0.000000e+00,0.000000e+00,8.499871e-01
2.035000e-08,0.000000e+00,5.950000e-01,0.000000e+00,0.000000e+00,8.499635e-01
2.050000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499767e-01
2.054000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499860e-01
2.062000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499944e-01
2.078000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499857e-01
2.110000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499801e-01
2.174000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499783e-01
2.302000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499762e-01
2.500000e-08,0.000000e+00,8.500000e-01,0.000000e+00,0.000000e+00,8.499764e-01
