time (time)	v(d) (voltage)	v(clk) (voltage)	v(s) (voltage)	v(r) (voltage)	v(q) (voltage)
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499317e-01
1.000000e-12	0.000000e+00	1.700000e-03	0.000000e+00	0.000000e+00	8.499330e-01
2.000000e-12	0.000000e+00	3.400000e-03	0.000000e+00	0.000000e+00	8.499341e-01
4.000000e-12	0.000000e+00	6.800000e-03	0.000000e+00	0.000000e+00	8.499363e-01
8.000000e-12	0.000000e+00	1.360000e-02	0.000000e+00	0.000000e+00	8.499398e-01
1.600000e-11	0.000000e+00	2.720000e-02	0.000000e+00	0.000000e+00	8.499451e-01
3.200000e-11	0.000000e+00	5.440000e-02	0.000000e+00	0.000000e+00	8.499497e-01
6.400000e-11	0.000000e+00	1.088000e-01	0.000000e+00	0.000000e+00	8.499488e-01
1.280000e-10	0.000000e+00	2.176000e-01	0.000000e+00	0.000000e+00	8.499390e-01
2.560000e-10	0.000000e+00	4.352000e-01	0.000000e+00	0.000000e+00	8.499283e-01
5.000000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499151e-01
5.256000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499221e-01
5.768000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499416e-01
6.792000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499507e-01
8.840000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499314e-01
1.289173e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499347e-01
2.099520e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499305e-01
3.720214e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499337e-01
6.961601e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499302e-01
1.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499334e-01
1.055000e-08	0.000000e+00	7.650000e-01	0.000000e+00	0.000000e+00	8.499296e-01
1.065000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	8.499261e-01
1.085000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	8.499408e-01
1.100000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499452e-01
1.104000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499480e-01
1.112000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499326e-01
1.128000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499214e-01
1.160000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499394e-01
1.224000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499282e-01
1.310168e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499359e-01
1.482504e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499287e-01
1.827176e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499350e-01
2.000000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499290e-01
2.005000e-08	0.000000e+00	8.500000e-02	0.000000e+00	0.000000e+00	8.499415e-01
2.015000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	8.499402e-01
2.035000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	8.499127e-01
2.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499310e-01
2.054000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499379e-01
2.062000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499444e-01
2.078000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499368e-01
2.110000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499321e-01
2.174000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499332e-01
2.302000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499314e-01
2.500000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499326e-01
2.505000e-08	8.500000e-02	8.500000e-01	8.500000e-02	0.000000e+00	8.538497e-01
2.515000e-08	2.550000e-01	8.500000e-01	2.550000e-01	0.000000e+00	8.596750e-01
2.535000e-08	5.950000e-01	8.500000e-01	5.950000e-01	0.000000e+00	8.564198e-01
2.550000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.531306e-01
