time (time)	v(d) (voltage)	v(clk) (voltage)	v(s) (voltage)	v(r) (voltage)	v(q) (voltage)
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499768e-01
1.000000e-12	0.000000e+00	1.700000e-03	0.000000e+00	0.000000e+00	8.500015e-01
2.000000e-12	0.000000e+00	3.400000e-03	0.000000e+00	0.000000e+00	8.500265e-01
4.000000e-12	0.000000e+00	6.800000e-03	0.000000e+00	0.000000e+00	8.500718e-01
8.000000e-12	0.000000e+00	1.360000e-02	0.000000e+00	0.000000e+00	8.501389e-01
1.600000e-11	0.000000e+00	2.720000e-02	0.000000e+00	0.000000e+00	8.502094e-01
3.200000e-11	0.000000e+00	5.440000e-02	0.000000e+00	0.000000e+00	8.502094e-01
6.400000e-11	0.000000e+00	1.088000e-01	0.000000e+00	0.000000e+00	8.500705e-01
1.280000e-10	0.000000e+00	2.176000e-01	0.000000e+00	0.000000e+00	8.499272e-01
2.560000e-10	0.000000e+00	4.352000e-01	0.000000e+00	0.000000e+00	8.498698e-01
4.369778e-10	0.000000e+00	7.428623e-01	0.000000e+00	0.000000e+00	8.497680e-01
5.000000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.503697e-01
5.163692e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.502379e-01
5.491077e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.500767e-01
6.145847e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.500053e-01
7.455386e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499787e-01
1.007446e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499768e-01
1.531262e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499757e-01
2.578894e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499777e-01
4.674156e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499758e-01
8.864682e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499771e-01
1.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.499768e-01
1.055000e-08	0.000000e+00	7.650000e-01	0.000000e+00	0.000000e+00	8.499329e-01
1.065000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	8.499433e-01
1.085000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	8.500311e-01
1.100000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.501143e-01
1.104000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.501094e-01
1.112000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.498867e-01
1.128000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.498612e-01
1.147519e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.500616e-01
1.172242e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499217e-01
1.207452e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.500353e-01
1.277871e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499280e-01
1.418710e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.500225e-01
1.700387e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.499311e-01
2.000000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.500209e-01
2.005000e-08	0.000000e+00	8.500000e-02	8.500000e-02	0.000000e+00	8.630313e-01
2.015000e-08	0.000000e+00	2.550000e-01	2.550000e-01	0.000000e+00	8.733246e-01
2.028771e-08	0.000000e+00	4.891060e-01	4.891060e-01	0.000000e+00	8.454319e-01
2.043288e-08	0.000000e+00	7.359044e-01	7.359044e-01	0.000000e+00	8.602158e-01
2.050000e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.590682e-01
2.051516e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.562130e-01
2.054547e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.525463e-01
2.060610e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.505159e-01
2.067172e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.500348e-01
2.074507e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499628e-01
2.083850e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499800e-01
2.094318e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499669e-01
2.111307e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499749e-01
2.139114e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499754e-01
2.194729e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499774e-01
2.305960e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499764e-01
2.500000e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	8.499771e-01
2.505000e-08	8.500000e-02	8.500000e-01	8.500000e-01	0.000000e+00	8.500339e-01
2.515000e-08	2.550000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.500477e-01
2.535000e-08	5.950000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.500750e-01
2.550000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499199e-01
2.551937e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.498495e-01
2.555812e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.498548e-01
2.563560e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499713e-01
2.572488e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499878e-01
2.581817e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499655e-01
2.592323e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.500059e-01
2.604226e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499878e-01
2.628033e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499898e-01
2.652939e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499897e-01
2.702752e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499869e-01
2.802377e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499906e-01
3.001628e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499864e-01
3.050000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499912e-01
3.055000e-08	8.500000e-01	7.650000e-01	8.500000e-01	0.000000e+00	8.499259e-01
3.065000e-08	8.500000e-01	5.950000e-01	8.500000e-01	0.000000e+00	8.499418e-01
3.085000e-08	8.500000e-01	2.550000e-01	8.500000e-01	0.000000e+00	8.500665e-01
3.100000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.501630e-01
3.104000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.501530e-01
3.112000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.498375e-01
3.128000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.498306e-01
3.147505e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.501310e-01
3.172225e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.499008e-01
3.207424e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.500649e-01
3.277822e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.499194e-01
3.418618e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.500545e-01
3.700211e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.499243e-01
4.000000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	8.500514e-01
4.005000e-08	8.500000e-01	8.500000e-02	8.500000e-01	0.000000e+00	8.502071e-01
