time (time)	v(d) (voltage)	v(clk) (voltage)	v(s) (voltage)	v(r) (voltage)	v(q) (voltage)
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.193955e-01
1.000000e-12	0.000000e+00	1.700000e-03	0.000000e+00	0.000000e+00	4.193950e-01
2.000000e-12	0.000000e+00	3.400000e-03	0.000000e+00	0.000000e+00	4.193958e-01
4.000000e-12	0.000000e+00	6.800000e-03	0.000000e+00	0.000000e+00	4.193965e-01
8.000000e-12	0.000000e+00	1.360000e-02	0.000000e+00	0.000000e+00	4.193958e-01
1.600000e-11	0.000000e+00	2.720000e-02	0.000000e+00	0.000000e+00	4.193944e-01
3.200000e-11	0.000000e+00	5.440000e-02	0.000000e+00	0.000000e+00	4.193965e-01
6.400000e-11	0.000000e+00	1.088000e-01	0.000000e+00	0.000000e+00	4.194388e-01
1.280000e-10	0.000000e+00	2.176000e-01	0.000000e+00	0.000000e+00	4.200846e-01
2.560000e-10	0.000000e+00	4.352000e-01	0.000000e+00	0.000000e+00	4.228947e-01
5.000000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.790196e-01
5.256000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.669349e-01
5.768000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.390189e-01
6.792000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.719655e-01
8.840000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.624552e-01
1.293600e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	6.200582e-02
2.036608e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	5.964659e-03
3.331904e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-2.680215e-03
5.901555e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.122879e-03
9.928458e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-1.813411e-03
1.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	9.132412e-04
1.055000e-08	0.000000e+00	7.650000e-01	0.000000e+00	0.000000e+00	4.905642e-04
1.065000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	3.569970e-05
1.085000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	-3.506122e-07
1.100000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.188400e-05
1.104000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.516134e-05
1.112000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.339049e-05
1.128000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.016960e-06
1.160000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.221494e-06
1.224000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.261530e-05
1.310613e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.353565e-05
1.483838e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786649e-05
1.830289e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.407598e-05
2.000000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.738770e-05
2.005000e-08	0.000000e+00	8.500000e-02	0.000000e+00	0.000000e+00	2.582729e-05
2.015000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	3.286043e-05
2.035000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	8.993069e-06
2.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-6.354374e-06
2.054000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-7.769656e-06
2.062000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	6.543624e-06
2.078000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.481785e-05
2.110000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.595185e-05
2.174000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.278241e-05
2.265026e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.736534e-05
2.447078e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.428735e-05
2.500000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.572897e-05
2.505000e-08	8.500000e-02	8.500000e-01	8.500000e-02	0.000000e+00	1.377160e-03
