time (time)	v(d) (voltage)	v(clk) (voltage)	v(s) (voltage)	v(r) (voltage)	v(q) (voltage)
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.581876e-06
1.000000e-12	0.000000e+00	1.700000e-03	0.000000e+00	0.000000e+00	2.122645e-05
2.000000e-12	0.000000e+00	3.400000e-03	0.000000e+00	0.000000e+00	3.903294e-05
4.000000e-12	0.000000e+00	6.800000e-03	0.000000e+00	0.000000e+00	7.199845e-05
8.000000e-12	0.000000e+00	1.360000e-02	0.000000e+00	0.000000e+00	1.220988e-04
1.600000e-11	0.000000e+00	2.720000e-02	0.000000e+00	0.000000e+00	1.792081e-04
3.200000e-11	0.000000e+00	5.440000e-02	0.000000e+00	0.000000e+00	2.160555e-04
6.400000e-11	0.000000e+00	1.088000e-01	0.000000e+00	0.000000e+00	1.810857e-04
1.280000e-10	0.000000e+00	2.176000e-01	0.000000e+00	0.000000e+00	7.279310e-05
2.560000e-10	0.000000e+00	4.352000e-01	0.000000e+00	0.000000e+00	-7.950099e-05
5.000000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-3.249969e-04
5.256000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-1.891954e-04
5.768000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.540597e-04
6.792000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.851341e-04
8.348900e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-4.271083e-05
1.036468e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	7.036619e-06
1.321419e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-3.932984e-05
1.891320e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.534508e-05
3.031123e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-2.720221e-05
5.310729e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.148585e-05
9.869940e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-2.513088e-05
1.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.715199e-05
1.055000e-08	0.000000e+00	7.650000e-01	0.000000e+00	0.000000e+00	-1.600187e-04
1.065000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	-1.230333e-04
1.085000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	7.799725e-05
1.100000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.294848e-04
1.104000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.547307e-04
1.112000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.693910e-04
1.128000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.401897e-04
1.152786e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.270426e-06
1.178548e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.375341e-05
1.227993e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.287362e-05
1.290340e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.067689e-05
1.415033e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.469225e-05
1.664420e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.902851e-05
2.000000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.362642e-05
2.005000e-08	0.000000e+00	8.500000e-02	8.500000e-02	0.000000e+00	4.826910e-03
2.015000e-08	0.000000e+00	2.550000e-01	2.550000e-01	0.000000e+00	1.055442e-02
2.035000e-08	0.000000e+00	5.950000e-01	5.950000e-01	0.000000e+00	-9.840328e-03
2.050000e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-2.207299e-02
2.052093e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-1.575181e-02
2.056280e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-4.826778e-03
2.064652e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	6.033265e-04
2.080711e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-2.573325e-04
2.096839e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	4.593317e-05
2.126331e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-7.256582e-05
2.184535e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	6.446897e-05
2.300944e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	-5.310440e-05
2.500000e-08	0.000000e+00	8.500000e-01	8.500000e-01	0.000000e+00	5.504410e-05
2.505000e-08	8.500000e-02	8.500000e-01	8.500000e-01	0.000000e+00	2.093207e-04
2.515000e-08	2.550000e-01	8.500000e-01	8.500000e-01	0.000000e+00	2.223879e-04
2.535000e-08	5.950000e-01	8.500000e-01	8.500000e-01	0.000000e+00	2.373032e-04
2.550000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	-5.024138e-05
2.554000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	-3.128250e-04
2.562000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	-2.594537e-04
2.578000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	-1.889537e-05
2.597600e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	1.425937e-05
2.616736e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	1.695167e-05
2.637431e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	-6.212794e-06
2.658566e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	2.904337e-05
2.686110e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	5.215053e-06
2.740947e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	2.138597e-05
2.850619e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	8.499719e-06
3.050000e-08	8.500000e-01	8.500000e-01	8.500000e-01	0.000000e+00	1.997641e-05
3.055000e-08	8.500000e-01	7.650000e-01	8.500000e-01	0.000000e+00	-2.140724e-04
3.065000e-08	8.500000e-01	5.950000e-01	8.500000e-01	0.000000e+00	-1.132075e-04
3.085000e-08	8.500000e-01	2.550000e-01	8.500000e-01	0.000000e+00	1.271299e-04
3.100000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	4.804747e-04
3.104000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	6.705183e-04
3.112000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	2.561581e-04
3.128000e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	-6.366707e-04
3.151932e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	1.046821e-04
3.177322e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	2.981518e-05
3.202948e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	7.213202e-05
3.237131e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	-3.148527e-05
3.275778e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	5.901225e-05
3.312287e-08	8.500000e-01	0.000000e+00	8.500000e-01	0.000000e+00	-2.018945e-05
