time (time)	v(d) (voltage)	v(clk) (voltage)	v(s) (voltage)	v(r) (voltage)	v(q) (voltage)
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.558953e-01
1.000000e-12	0.000000e+00	1.700000e-03	0.000000e+00	0.000000e+00	3.558543e-01
2.000000e-12	0.000000e+00	3.400000e-03	0.000000e+00	0.000000e+00	3.558472e-01
4.000000e-12	0.000000e+00	6.800000e-03	0.000000e+00	0.000000e+00	3.558425e-01
8.000000e-12	0.000000e+00	1.360000e-02	0.000000e+00	0.000000e+00	3.558391e-01
1.600000e-11	0.000000e+00	2.720000e-02	0.000000e+00	0.000000e+00	3.558389e-01
3.200000e-11	0.000000e+00	5.440000e-02	0.000000e+00	0.000000e+00	3.558470e-01
6.400000e-11	0.000000e+00	1.088000e-01	0.000000e+00	0.000000e+00	3.559967e-01
1.280000e-10	0.000000e+00	2.176000e-01	0.000000e+00	0.000000e+00	3.571754e-01
2.560000e-10	0.000000e+00	4.352000e-01	0.000000e+00	0.000000e+00	3.567687e-01
5.000000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.401047e-01
5.256000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.158175e-01
5.768000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.709128e-01
6.792000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.038716e-01
8.840000e-10	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	3.311508e-02
1.291658e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-2.579114e-03
2.106975e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.092120e-03
3.469971e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-6.339499e-04
6.195963e-09	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	4.903307e-04
1.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	-4.055445e-04
1.055000e-08	0.000000e+00	7.650000e-01	0.000000e+00	0.000000e+00	-3.518324e-04
1.065000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	-2.114477e-04
1.085000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	-3.388583e-05
1.100000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.149081e-06
1.104000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.224775e-05
1.112000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.354775e-06
1.128000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.664825e-05
1.160000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-6.218874e-07
1.224000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.045589e-06
1.313581e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.173687e-06
1.492744e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.182258e-06
1.851070e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.180704e-07
2.000000e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.072735e-06
2.005000e-08	0.000000e+00	8.500000e-02	0.000000e+00	0.000000e+00	1.027139e-05
2.015000e-08	0.000000e+00	2.550000e-01	0.000000e+00	0.000000e+00	1.215887e-05
2.035000e-08	0.000000e+00	5.950000e-01	0.000000e+00	0.000000e+00	-1.351713e-05
2.050000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	2.103677e-06
2.054000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	8.435259e-06
2.062000e-08	0.000000e+00	8.500000e-01	0.000000e+00	0.000000e+00	1.477480e-05
